game_url,away_team_name,away_team_initials,away_record_status,away_Q1,away_Q2,away_Q3,away_Q4,away_final_score,home_team_name,home_team_initials,home_record_status,home_Q1,home_Q2,home_Q3,home_Q4,home_final_score,stadium_name,stadium_attendance,stadium_capacity,game_location,game_date
https://www.espn.com/nfl/playbyplay/_/gameId/401437801,Seattle Seahawks,SEA,"4-3, 2-2 away",17,7,3,10,37,Los Angeles Chargers,LAC,"4-3, 2-2 home",0,14,0,9,23,SoFi Stadium,"70,240","71,500","Inglewood, CA ","4:25 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437802,Kansas City Chiefs,KC,"5-2, 3-1 away",7,7,14,16,44,San Francisco 49ers,SF,"3-4, 2-1 home",10,3,3,7,23,Levi's Stadium,"71,746","68,500","Santa Clara, CA ","4:25 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437803,Pittsburgh Steelers,PIT,"2-5, 1-3 away",0,10,0,0,10,Miami Dolphins,MIA,"4-3, 3-1 home",13,3,0,0,16,Hard Rock Stadium,"66,224","64,767","Miami Gardens, FL ","8:20 PM, October 23, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437804,Chicago Bears,CHI,"3-4, 1-3 away",10,10,6,7,33,New England Patriots,NE,"3-4, 1-2 home",0,14,0,0,14,Gillette Stadium,"65,878","65,878","Foxboro, MA ","8:15 PM, October 24, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437805,Baltimore Ravens,BAL,"5-3, 3-1 away",3,0,14,10,27,Tampa Bay Buccaneers,TB,"3-5, 1-3 home",10,0,0,12,22,Raymond James Stadium,"68,912","65,828","Tampa, FL ","8:15 PM, October 27, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401435641,Denver Broncos,DEN,3-5,0,7,7,7,21,Jacksonville Jaguars,JAX,2-6,7,3,0,7,17,Wembley Stadium,"86,215","86,000",London ,"9:30 AM, October 30, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437806,Carolina Panthers,CAR,"2-6, 0-3 away",3,7,3,21,0,Atlanta Falcons,ATL,"4-4, 3-1 home",0,14,7,13,3,Mercedes-Benz Stadium,"68,996","75,000","Atlanta, GA ","1:00 PM, October 30, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437807,Chicago Bears,CHI,"3-5, 1-4 away",0,17,6,6,29,Dallas Cowboys,DAL,"6-2, 4-1 home",14,14,14,7,49,AT&T Stadium,"93,767","100,000","Arlington, TX ","1:00 PM, October 30, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437808,Miami Dolphins,MIA,"5-3, 2-2 away",7,10,14,0,31,Detroit Lions,DET,"1-6, 1-3 home",14,13,0,0,27,Ford Field,"61,447","64,500","Detroit, MI ","1:00 PM, October 30, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437809,Arizona Cardinals,ARI,"3-5, 2-2 away",3,7,13,3,26,Minnesota Vikings,MIN,"6-1, 4-0 home",7,7,14,6,34,U.S. Bank Stadium,"66,742","66,468","Minneapolis, MN ","1:00 PM, October 30, 2022"
